No,_key,title,plays,duration,release_date,cover_url
153,dodeka|322,Dodeka,2434051.0,5:22,1985-01-10,https://i.scdn.co/image/ab67616d0000b2735f20f2f63fe64bfe775da003
154,dodeka|411,Dodeka,55168.0,6:51,2025-01-01,https://i.scdn.co/image/ab67616d0000b27389b564940e7d0488251cf51e
155,doulia doulia|94,Doulia Doulia,5249.0,1:34,2002-04-26,https://i.scdn.co/image/ab67616d0000b273b8576e13c95219ae8e9a0a18
156,dromos|288,Dromos,58203.0,4:48,1986-04-22,https://i.scdn.co/image/ab67616d0000b27365c697e7b6b91a77ace8b7b2
157,ebnefsi - live|147,Ebnefsi - Live,102940.0,2:27,1993-12-17,https://i.scdn.co/image/ab67616d0000b27312e44acc3e380f6fa9cd0446
158,ebnefsi|202,Ebnefsi,379653.0,3:22,1989-03-24,https://i.scdn.co/image/ab67616d0000b273feb9079b2827195dbd9c7994
159,efimerides|256,Efimerides,26249.0,4:16,1989-03-24,https://i.scdn.co/image/ab67616d0000b273feb9079b2827195dbd9c7994
160,efta tragoudia tha sou po - live|86,Efta Tragoudia Tha Sou Po - Live,18400.0,1:26,1993-12-17,https://i.scdn.co/image/ab67616d0000b27312e44acc3e380f6fa9cd0446
161,efta zoes|196,Efta Zoes,7629.0,3:16,1995-09-18,https://i.scdn.co/image/ab67616d0000b2739b1659f5770ea89cfad1f157
162,ego de hanomai pote mou|164,Ego De Hanomai Pote Mou,7548.0,2:44,1982-12-17,https://i.scdn.co/image/ab67616d0000b273d88d7bedbfbd881b07f3f89f
163,ego ime ego|129,Ego Ime Ego,4062.0,2:09,2007-09-18,https://i.scdn.co/image/ab67616d0000b2739e31a8347d2213ec7f37a4bb
164,ego moro mou - live version|171,Ego Moro Mou - Live Version,127505.0,2:51,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
165,ego moro mou - live version|41,Ego Moro Mou - Live Version,53849.0,0:41,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
166,ego moro mou|234,Ego Moro Mou,287570.0,3:54,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
167,eho pethani gia sena - live version|260,Eho Pethani Gia Sena - Live Version,155788.0,4:20,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
168,eho pethani gia sena|234,Eho Pethani Gia Sena,4070232.0,3:54,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
169,eho tosi agapi|245,Eho Tosi Agapi,18346.0,4:05,2005-09-26,https://i.scdn.co/image/ab67616d0000b2737378ccb9d3a30519e6335e07
