title,plays,duration,release_date,isrc,source
Vaterlo - Live Version,70880,2:37,2005-01-27,,MusicMetricsVault.com
Dipsasa Stin Porta Sou,70656,4:04,1994-04-27,,MusicMetricsVault.com
To Katalaves?,70494,3:51,1997-04-16,,MusicMetricsVault.com
Methismeni Mou Kardia,69564,3:52,2025-01-01,,MusicMetricsVault.com
Dipsasa Stin Porta Sou,69457,4:04,1974-03-27,,MusicMetricsVault.com
Oso Axizis Esi - Live Version,69045,1:22,2005-01-27,,MusicMetricsVault.com
Dipsasa Stin Porta Sou - Remastered 2005,68539,4:04,2005-03-10,,MusicMetricsVault.com
Nihta Stasou - Live Version,68393,1:17,2005-01-27,,MusicMetricsVault.com
I Tilirkotsia,68277,2:35,1995-07-20,,MusicMetricsVault.com
Prosefhi - Live Version,67504,1:38,2005-01-27,,MusicMetricsVault.com
O Telefteos Horos - Live,67271,2:10,1993-12-17,,MusicMetricsVault.com
S’ Agapo - Ax! Peristeri Mou,66766,3:38,2025-01-01,,MusicMetricsVault.com
Min Psahnis Tin Agapi - Live Version,66636,3:03,2005-01-27,,MusicMetricsVault.com
Thanatos Ine I Agapi,66321,4:49,1997-04-16,,MusicMetricsVault.com
I Mousiki Tou Anemou,66118,4:60,2025-01-01,,MusicMetricsVault.com
San Ke Mena Kamia - Live Version,65464,1:21,1984-03-14,,MusicMetricsVault.com
Afou,65061,4:47,2017-11-07,,MusicMetricsVault.com
To Telefteo Tsigaro,64775,4:54,2000-11-16,,MusicMetricsVault.com
Krima To Boi Sou - Live,63959,1:41,1993-12-17,,MusicMetricsVault.com
Ta Radiofona,63951,4:11,2002-10-03,,MusicMetricsVault.com
Mov,63942,3:34,2003-12-04,,MusicMetricsVault.com
Anakohi,63805,4:20,2008-12-09,,MusicMetricsVault.com
